46.4.123.15#4#2#Malicious Host#DE##51.0,9.0#3
222.136.71.19#3#2#Scanning Host#CN#Zhengzhou#34.6836013794,113.532501221#11
27.254.67.157#3#2#Scanning Host;Malicious Host#TH##13.75,100.466697693#11;3
180.252.0.245#4#3#Malicious Host;Scanning Host#ID##-6.17500019073,106.828598022#3;11
116.117.253.243#3#2#Scanning Host#CN#Baotou#40.6521987915,109.82219696#11
5.196.132.54#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
212.83.182.179#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
112.5.183.94#3#2#Scanning Host#CN##35.0,105.0#11
193.90.12.86#3#2#Scanning Host#NO##59.9500007629,10.75#11
216.108.227.31#3#2#Scanning Host#US#Las Vegas#35.978099823,-115.211700439#11
207.244.68.217#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
91.200.12.111#3#2#Scanning Host#UA##49.0,32.0#11
60.173.82.156#3#2#Scanning Host;Malicious Host#CN#Hefei#31.863899231,117.280799866#11;3
182.131.21.69#3#2#Scanning Host#CN#Chengdu#30.6667003632,104.066703796#11
95.173.163.94#3#2#Scanning Host#TR##41.0135993958,28.9549999237#11
36.72.228.72#3#2#Scanning Host#ID##-5.0,120.0#11
113.195.145.12#3#2#Scanning Host;Malicious Host#CN#Nanchang#28.5499992371,115.933296204#11;3
113.195.145.70#3#2#Scanning Host;Malicious Host#CN#Nanchang#28.5499992371,115.933296204#11;3
103.245.10.28#3#2#Scanning Host#IN##20.0,77.0#11
176.10.99.203#3#2#Scanning Host#CH##47.0,8.0#11
212.83.147.72#4#3#Malicious Host;Scanning Host#FR##48.8600006104,2.34999990463#3;11
92.97.255.83#3#2#Scanning Host#AE#Abu Dhabi#24.4666996002,54.3666992188#11
52.23.247.159#3#2#Scanning Host#US#Ashburn#39.0335006714,-77.4838027954#11
45.32.49.7#3#2#Scanning Host#NL#Amsterdam#52.3499984741,4.91669988632#11
125.211.216.19#4#2#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
207.244.68.37#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
198.7.63.172#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
198.23.159.180#6#3#Spamming#US#Buffalo#42.9864006042,-78.727897644#12
213.159.212.115#9#3#Spamming#RU##55.75,37.6166000366#12
109.197.63.74#4#2#Malicious Host#PL#Warsaw#52.25,21.0#3
111.8.38.203#4#3#Malicious Host#CN##35.0,105.0#3
60.173.14.5#2#2#Scanning Host;Malicious Host#CN#Hefei#31.863899231,117.280799866#11;3
123.242.229.75#3#2#Scanning Host;Malicious Host#HK#North Point#22.2999992371,114.199996948#11;3
81.240.248.53#3#2#Scanning Host#BE##50.8499984741,4.34999990463#11
101.227.241.251#3#2#Scanning Host;Malicious Host#CN#Shanghai#31.0456008911,121.39969635#11;3
222.186.21.113#2#2#Scanning Host;Malicious Host#CN#Nanjing#32.0616989136,118.777801514#11;3
112.217.177.82#3#2#Scanning Host;Malicious Host#KR##37.5699996948,126.980003357#11;3
212.129.32.2#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
87.245.149.178#3#2#Scanning Host#RU##55.75,37.6166000366#11
46.24.21.68#3#2#Scanning Host;Malicious Host#ES##40.4000015259,0.0#11;3
218.93.122.141#4#4#Malicious Host;Scanning Host#CN#Nanjing#32.0616989136,118.777801514#3;11
120.72.91.46#3#2#Scanning Host;Malicious Host#IN##20.0,77.0#11;3
59.120.151.118#3#2#Scanning Host;Malicious Host#TW#Taipei#25.0391998291,121.525001526#11;3
